,First_pokemon,Second_pokemon,Winner
64,Pachirisu,Magnemite,Pachirisu
65,Sewaddle,Vanillite,Vanillite
66,Caterpie,Mankey,Mankey
67,Spinarak,Skarmory,Skarmory
68,Skiddo,Lickitung,Skiddo
69,Kabuto,Moltres,Moltres
70,Spinarak,Pidove,Pidove
71,Abra,Wingull,Abra
72,Druddigon,Carnivine,Druddigon
73,Munna,Meowth,Meowth
74,Darumaka,Foongus,Darumaka
75,Minccino,Groudon,Groudon
76,Bouffalant,Togepi,Bouffalant
77,Ho-oh,Pidgey,Ho-oh
78,Houndour,Budew,Houndour
79,Machop,Cubone,Cubone
80,Minccino,Carvanha,Minccino
81,Jirachi,Hoppip,Jirachi
82,Combee,Hoppip,Combee
83,Cobalion,Oddish,Cobalion
84,Machop,Bronzor,Machop
85,Misdreavus,Joltik,Misdreavus
86,Zorua,Reshiram,Reshiram
87,Cobalion,Turtwig,Cobalion
88,Amaura,Corphish,Amaura
89,Absol,Smeargle,Smeargle
90,Snubbull,Wurmple,Snubbull
91,Swablu,Petilil,Swablu
92,Patrat,Honedge,Honedge
93,Cranidos,Wingull,Wingull
94,Rhyhorn,Minun,Rhyhorn
95,Deino,Seel,Seel
96,Blitzle,Groudon,Groudon
97,Ralts,Zekrom,Zekrom
98,Kecleon,Gible,Gible
99,Zorua,Caterpie,Zorua
100,Swablu,Jirachi,Jirachi
101,Luvdisc,Latios,Latios
102,Magnemite,Klefki,Klefki
103,Carbink,Elgyem,Carbink
104,Doduo,Spinarak,Doduo
105,Trapinch,Rayquaza,Rayquaza
106,Squirtle,Weedle,Weedle
107,Yanma,Pachirisu,Pachirisu
108,Noibat,Hoppip,Noibat
109,Glameow,Dialga,Dialga
110,Kecleon,Articuno,Articuno
111,Slowpoke,Skorupi,Skorupi
112,Gible,Registeel,Registeel
113,Exeggcute,Cleffa,Exeggcute
114,Zekrom,Shieldon,Zekrom
115,Spheal,Swinub,Swinub
116,Emolga,Happiny,Emolga
117,Karrablast,Foongus,Karrablast
118,Minccino,Glameow,Glameow
119,Aerodactyl,Karrablast,Aerodactyl
120,Carvanha,Drowzee,Carvanha
121,Squirtle,Tympole,Tympole
122,Zapdos,Smoochum,Zapdos
123,Venonat,Sawk,Sawk
124,Groudon,Bunnelby,Groudon
125,Dedenne,Cranidos,Dedenne
126,Dialga,Wingull,Dialga
127,Wooper,Pawniard,Pawniard
128,Swablu,Stunfisk,Stunfisk
129,Remoraid,Skitty,Remoraid
130,Sneasel,Elgyem,Sneasel
131,Lugia,Hawlucha,Hawlucha
132,Buneary,Clamperl,Buneary
133,Tangela,Petilil,Tangela
134,Skorupi,Tangela,Skorupi
135,Venipede,Staryu,Staryu
136,Tepig,Pansear,Pansear
137,Beldum,Pineco,Beldum
138,Vullaby,Timburr,Vullaby
139,Rhyhorn,Tyrogue,Tyrogue
140,Hoothoot,Shieldon,Hoothoot
141,Cresselia,Chespin,Cresselia
142,Snubbull,Mantyke,Snubbull
143,Elgyem,Grimer,Elgyem
144,Anorith,Durant,Durant
145,Munchlax,Bronzor,Munchlax
146,Manaphy,Gastly,Manaphy
147,Lickitung,Lunatone,Lunatone
148,Manaphy,Venonat,Manaphy
149,Cryogonal,Weedle,Cryogonal
150,Phanpy,Elekid,Phanpy
151,Aerodactyl,Skitty,Aerodactyl
152,Pidove,Vullaby,Vullaby
153,Purrloin,Diancie,Purrloin
154,Scraggy,Ho-oh,Ho-oh
155,Litwick,Whismur,Whismur
156,Kecleon,Dratini,Dratini
157,Oddish,Gothita,Gothita
158,Kecleon,Azurill,Kecleon
159,Larvesta,Shellder,Larvesta
160,Chikorita,Skrelp,Chikorita
161,Venonat,Murkrow,Murkrow
162,Cubchoo,Volbeat,Volbeat
163,Spinda,Joltik,Joltik
164,Lickitung,Reshiram,Reshiram
165,Luvdisc,Palkia,Palkia
166,Shuckle,Yanma,Yanma
167,Zubat,Kyurem,Kyurem
168,Drowzee,Throh,Throh
169,Volbeat,Bagon,Volbeat
170,Exeggcute,Lotad,Exeggcute
171,Cherubi,Minun,Minun
172,Groudon,Venipede,Groudon
173,Croagunk,Rayquaza,Rayquaza
174,Treecko,Helioptile,Helioptile
175,Palkia,Darumaka,Palkia
176,Machop,Regirock,Regirock
177,Audino,Gastly,Gastly
178,Torkoal,Chimchar,Chimchar
179,Volcanion,Kyogre,Kyogre
180,Murkrow,Anorith,Murkrow
181,Mewtwo,Cubchoo,Mewtwo
182,Zangoose,Baltoy,Zangoose
183,Frillish,Diglett,Diglett
184,Staryu,Plusle,Plusle
185,Articuno,Rattata,Articuno
186,Charmander,Lickitung,Charmander
187,Joltik,Clamperl,Joltik
188,Stunky,Shelmet,Stunky
189,Barboach,Cottonee,Cottonee
190,Natu,Pidgey,Natu
191,Seviper,Kricketot,Seviper
192,Illumise,Azurill,Illumise
193,Rufflet,Pinsir,Pinsir
194,Sableye,Luvdisc,Luvdisc
195,Spiritomb,Ducklett,Ducklett
196,Clauncher,Chatot,Chatot
197,Zangoose,Illumise,Zangoose
198,Heracross,Relicanth,Heracross
199,Illumise,Totodile,Illumise
200,Swablu,Delibird,Delibird
201,Manaphy,Sawk,Manaphy
202,Articuno,Tentacool,Articuno
203,Mareep,Clauncher,Clauncher
204,Squirtle,Zapdos,Zapdos
205,Staryu,Snubbull,Snubbull
206,Stantler,Articuno,Articuno
207,Cubchoo,Beldum,Cubchoo
208,Cresselia,Cubchoo,Cresselia
209,Tepig,Jirachi,Jirachi
210,Onix,Togepi,Onix
211,Bonsly,Baltoy,Baltoy
212,Krabby,Kyurem,Kyurem
213,Volcanion,Sentret,Volcanion
214,Abra,Zangoose,Zangoose
215,Deino,Spinda,Spinda
216,Shelmet,Barboach,Barboach
217,Volbeat,Shinx,Volbeat
218,Wurmple,Cleffa,Wurmple
219,Uxie,Paras,Uxie
220,Ducklett,Absol,Absol
221,Emolga,Budew,Emolga
222,Dedenne,Zekrom,Dedenne
223,Doduo,Aron,Aron
224,Larvitar,Ralts,Larvitar
225,Druddigon,Gulpin,Druddigon
226,Kangaskhan,Drowzee,Kangaskhan
227,Chatot,Palkia,Palkia
228,Frillish,Torkoal,Torkoal
229,Shinx,Durant,Durant
230,Ducklett,Venipede,Venipede
231,Druddigon,Dratini,Dratini
232,Manaphy,Moltres,Manaphy
233,Jirachi,Spoink,Jirachi
234,Binacle,Clamperl,Binacle
235,Krabby,Foongus,Krabby
236,Gible,Misdreavus,Misdreavus
237,Spiritomb,Beldum,Spiritomb
238,Fletchling,Rotom,Rotom
239,Litwick,Wingull,Wingull
240,Illumise,Kabuto,Illumise
241,Illumise,Mawile,Illumise
242,Bronzor,Petilil,Petilil
243,Castform,Tynamo,Castform
244,Spheal,Uxie,Uxie
245,Reshiram,Ralts,Reshiram
246,Venonat,Delibird,Delibird
247,Latias,Tyrunt,Latias
248,Phanpy,Cyndaquil,Cyndaquil
249,Cobalion,Buizel,Cobalion
250,Pansear,Meowth,Meowth
251,Pinsir,Gligar,Gligar
252,Cottonee,Volbeat,Volbeat
253,Groudon,Litleo,Groudon
254,Kricketot,Corphish,Corphish
255,Phanpy,Mesprit,Mesprit
256,Diglett,Alomomola,Alomomola
257,Carbink,Durant,Durant
258,Emolga,Weedle,Emolga
259,Misdreavus,Roggenrola,Misdreavus
260,Espurr,Suicune,Suicune
261,Genesect,Cubchoo,Genesect
262,Electrike,Gible,Electrike
263,Jirachi,Absol,Jirachi
264,Caterpie,Sandile,Sandile
265,Misdreavus,Latios,Latios
266,Snubbull,Horsea,Horsea
267,Alomomola,Feebas,Alomomola
268,Virizion,Shieldon,Virizion
269,Mankey,Aerodactyl,Aerodactyl
270,Phanpy,Pineco,Phanpy
271,Cubone,Throh,Throh
272,Tirtouga,Ralts,Tirtouga
273,Ekans,Cubone,Ekans
274,Spinarak,Tropius,Tropius
275,Registeel,Zekrom,Zekrom
276,Seel,Gothita,Gothita
277,Ferroseed,Amaura,Ferroseed
278,Cubone,Dialga,Dialga
279,Azurill,Tropius,Tropius
280,Spinarak,Horsea,Horsea
281,Smeargle,Staryu,Staryu
282,Regice,Pachirisu,Pachirisu
283,Shelmet,Whismur,Whismur
284,Misdreavus,Goldeen,Misdreavus
285,Solosis,Petilil,Petilil
286,Riolu,Regice,Riolu
287,Voltorb,Duskull,Voltorb
288,Bellsprout,Murkrow,Murkrow
289,Remoraid,Roggenrola,Remoraid
290,Venonat,Tirtouga,Venonat
291,Tyrunt,Bergmite,Tyrunt
292,Patrat,Volbeat,Volbeat
293,Kricketot,Sentret,Kricketot
294,Ducklett,Patrat,Ducklett
295,Patrat,Noibat,Noibat
296,Klefki,Dwebble,Klefki
297,Spearow,Skitty,Spearow
298,Terrakion,Pinsir,Terrakion
299,Meditite,Pancham,Meditite
300,Relicanth,Heracross,Heracross
301,Volcanion,Seviper,Volcanion
302,Phantump,Gothita,Gothita
303,Hoppip,Axew,Axew
304,Krabby,Dedenne,Dedenne
305,Groudon,Doduo,Groudon
306,Swinub,Electrike,Electrike
307,Qwilfish,Vulpix,Qwilfish
308,Wurmple,Manaphy,Manaphy
309,Fennekin,Espurr,Espurr
310,Seedot,Ekans,Ekans
311,Nosepass,Regice,Regice
312,Binacle,Chatot,Chatot
313,Latias,Regice,Latias
314,Deino,Binacle,Binacle
315,Diancie,Sneasel,Sneasel
316,Drowzee,Drifloon,Drifloon
317,Axew,Nincada,Axew
318,Tangela,Stunfisk,Tangela
319,Vullaby,Starly,Starly
320,Corphish,Exeggcute,Exeggcute
321,Smeargle,Helioptile,Smeargle
322,Togepi,Beldum,Beldum
323,Swirlix,Venonat,Swirlix
324,Fletchling,Electrike,Electrike
325,Moltres,Chatot,Chatot
326,Vullaby,Snubbull,Vullaby
327,Sentret,Eevee,Eevee
328,Azurill,Venipede,Venipede
329,Shuppet,Zorua,Zorua
330,Elgyem,Seviper,Seviper
331,Emolga,Drilbur,Drilbur
332,Geodude,Sandile,Sandile
333,Meditite,Aipom,Aipom
334,Meditite,Taillow,Taillow
335,Plusle,Relicanth,Plusle
336,Meditite,Luvdisc,Luvdisc
337,Illumise,Pachirisu,Pachirisu
338,Dedenne,Phantump,Dedenne
339,Throh,Glameow,Throh
340,Carnivine,Hoppip,Hoppip
341,Machop,Carbink,Carbink
342,Drilbur,Oddish,Drilbur
343,Meowth,Stunfisk,Stunfisk
344,Spheal,Riolu,Riolu
345,Tauros,Pachirisu,Tauros
346,Relicanth,Electrike,Electrike
347,Durant,Spinda,Durant
348,Woobat,Nincada,Woobat
349,Mankey,Swirlix,Mankey
350,Onix,Skiddo,Onix
351,Ralts,Phantump,Ralts
352,Binacle,Voltorb,Voltorb
353,Archen,Torkoal,Archen
354,Psyduck,Lugia,Lugia
355,Oshawott,Ferroseed,Ferroseed
356,Lileep,Azurill,Lileep
357,Amaura,Elekid,Elekid
358,Mareep,Chespin,Chespin
359,Deino,Stunky,Stunky
360,Foongus,Panpour,Foongus
361,Darumaka,Mew,Mew
362,Sentret,Luvdisc,Luvdisc
363,Kricketot,Paras,Paras
364,Drifloon,Deino,Drifloon
365,Azelf,Spinarak,Azelf
366,Articuno,Carbink,Articuno
367,Litleo,Ekans,Litleo
368,Rattata,Charmander,Rattata
369,Tympole,Oshawott,Tympole
370,Tynamo,Gligar,Gligar
371,Azelf,Bidoof,Azelf
372,Qwilfish,Klefki,Qwilfish
373,Wooper,Munna,Munna
374,Druddigon,Mareep,Druddigon
375,Bronzor,Stunfisk,Stunfisk
376,Pineco,Dwebble,Dwebble
377,Phantump,Illumise,Illumise
378,Scyther,Pidove,Scyther
379,Manaphy,Reshiram,Manaphy
380,Stantler,Meowth,Meowth
381,Onix,Koffing,Onix
382,Roggenrola,Poochyena,Poochyena
383,Azurill,Chinchou,Chinchou
384,Larvitar,Houndour,Houndour
385,Wurmple,Drowzee,Drowzee
386,Sewaddle,Ekans,Ekans
387,Gligar,Audino,Gligar
388,Axew,Helioptile,Helioptile
389,Paras,Togepi,Paras
390,Cubone,Mew,Mew
391,Snover,Meowth,Meowth
392,Swinub,Aipom,Aipom
393,Mesprit,Voltorb,Voltorb
394,Pachirisu,Venipede,Pachirisu
395,Phanpy,Natu,Natu
396,Paras,Regigigas,Regigigas
397,Oshawott,Darkrai,Darkrai
398,Tauros,Swirlix,Tauros
399,Ledyba,Electrike,Electrike
400,Uxie,Charmander,Uxie
401,Terrakion,Chespin,Terrakion
402,Victini,Lapras,Victini
403,Kabuto,Pawniard,Pawniard
404,Plusle,Mareep,Plusle
405,Bidoof,Purrloin,Purrloin
406,Espurr,Corphish,Espurr
407,Blitzle,Ponyta,Ponyta
408,Kyurem,Heatran,Kyurem
409,Sawk,Drowzee,Sawk
410,Slugma,Volcanion,Volcanion
411,Lileep,Latios,Latios
412,Durant,Heatran,Durant
413,Houndour,Noibat,Houndour
414,Noibat,Tauros,Tauros
415,Teddiursa,Tyrunt,Tyrunt
416,Electrike,Carbink,Electrike
417,Drifloon,Karrablast,Drifloon
418,Ducklett,Kangaskhan,Kangaskhan
419,Spheal,Throh,Throh
420,Zekrom,Onix,Onix
421,Munchlax,Rufflet,Munchlax
422,Ho-oh,Dedenne,Dedenne
423,Murkrow,Mudkip,Murkrow
424,Pansear,Gastly,Gastly
425,Panpour,Cyndaquil,Cyndaquil
426,Magikarp,Victini,Victini
427,Bidoof,Onix,Onix
428,Tyrunt,Spiritomb,Tyrunt
429,Grimer,Nincada,Nincada
430,Pidgey,Shinx,Pidgey
431,Oddish,Regigigas,Regigigas
432,Azelf,Anorith,Azelf
433,Horsea,Larvitar,Horsea
434,Growlithe,Bronzor,Growlithe
435,Espurr,Absol,Absol
436,Durant,Torchic,Durant
437,Cleffa,Dialga,Dialga
438,Drifloon,Plusle,Plusle
439,Fletchling,Krabby,Fletchling
440,Klefki,Rattata,Klefki
441,Vullaby,Snorunt,Vullaby
442,Purrloin,Mienfoo,Purrloin
443,Tepig,Elekid,Elekid
444,Minccino,Joltik,Minccino
445,Anorith,Espurr,Anorith
446,Volbeat,Surskit,Volbeat
447,Blitzle,Patrat,Blitzle
448,Woobat,Darkrai,Darkrai
449,Latias,Clauncher,Latias
450,Pidove,Aerodactyl,Aerodactyl
451,Koffing,Snubbull,Koffing
452,Smoochum,Shellder,Smoochum
453,Helioptile,Combee,Combee
454,Wingull,Qwilfish,Qwilfish
455,Celebi,Carbink,Celebi
456,Squirtle,Trubbish,Trubbish
457,Combee,Gothita,Combee
458,Togepi,Delibird,Delibird
459,Dwebble,Frillish,Dwebble
460,Beldum,Chingling,Chingling
461,Voltorb,Gligar,Gligar
462,Carbink,Koffing,Carbink
463,Wailmer,Woobat,Woobat
464,Shroomish,Bagon,Bagon
465,Victini,Chimchar,Victini
466,Spheal,Phione,Phione
467,Lillipup,Zubat,Zubat
468,Ponyta,Venipede,Ponyta
469,Pansear,Panpour,Panpour
470,Staryu,Yanma,Yanma
471,Shelmet,Roggenrola,Shelmet
472,Entei,Yveltal,Entei
473,Magikarp,Spearow,Magikarp
474,Lileep,Pachirisu,Pachirisu
475,Corphish,Porygon,Porygon
476,Latios,Turtwig,Latios
477,Drilbur,Bronzor,Drilbur
478,Grimer,Audino,Audino
479,Regirock,Sigilyph,Sigilyph
480,Mawile,Skarmory,Skarmory
481,Slugma,Grimer,Grimer
482,Archen,Klink,Archen
483,Deino,Aerodactyl,Aerodactyl
484,Yamask,Chinchou,Chinchou
485,Vanillite,Shuppet,Shuppet
486,Seedot,Wooper,Seedot
487,Raikou,Meowth,Raikou
488,Barboach,Rayquaza,Rayquaza
489,Electrike,Pachirisu,Pachirisu
490,Porygon,Scyther,Scyther
491,Seedot,Smeargle,Smeargle
492,Phione,Glameow,Glameow
493,Rotom,Staryu,Staryu
494,Wurmple,Tyrunt,Tyrunt
495,Beldum,Doduo,Doduo
496,Mewtwo,Lillipup,Mewtwo
497,Sewaddle,Absol,Absol
498,Zubat,Geodude,Zubat
499,Ledyba,Purrloin,Purrloin
500,Duskull,Beldum,Beldum
501,Vanillite,Rattata,Rattata
502,Togepi,Castform,Castform
503,Togepi,Swirlix,Swirlix
504,Regigigas,Natu,Regigigas
505,Entei,Heatmor,Entei
506,Tropius,Elgyem,Tropius
507,Magnemite,Joltik,Joltik
508,Aron,Dwebble,Dwebble
509,Jirachi,Numel,Jirachi
510,Celebi,Larvesta,Celebi
511,Skorupi,Bronzor,Bronzor
512,Heracross,Pidove,Heracross
513,Mankey,Hippopotas,Mankey
514,Mareep,Munna,Mareep
515,Mawile,Totodile,Mawile
516,Snubbull,Paras,Snubbull
517,Clamperl,Snorunt,Snorunt
518,Druddigon,Sunkern,Druddigon
519,Bellsprout,Baltoy,Baltoy
520,Mudkip,Growlithe,Growlithe
521,Pawniard,Ferroseed,Pawniard
522,Girafarig,Victini,Victini
523,Registeel,Venipede,Venipede
524,Seedot,Barboach,Barboach
525,Smeargle,Phantump,Phantump
526,Rayquaza,Lunatone,Rayquaza
527,Phanpy,Mesprit,Mesprit
528,Omanyte,Kecleon,Kecleon
529,Carnivine,Deino,Carnivine
530,Litleo,Moltres,Moltres
531,Zekrom,Surskit,Zekrom
532,Entei,Bellsprout,Entei
533,Venonat,Omanyte,Venonat
534,Beldum,Aerodactyl,Aerodactyl
535,Venipede,Regigigas,Regigigas
536,Snubbull,Ledyba,Snubbull
537,Combee,Surskit,Combee
538,Cacnea,Machop,Machop
539,Taillow,Exeggcute,Taillow
540,Sewaddle,Barboach,Barboach
541,Azelf,Uxie,Azelf
542,Voltorb,Zapdos,Zapdos
543,Kricketot,Regice,Regice
544,Chimchar,Numel,Chimchar
545,Fennekin,Doduo,Doduo
546,Porygon,Sigilyph,Sigilyph
547,Pawniard,Mantyke,Pawniard
548,Buneary,Relicanth,Buneary
549,Oddish,Cobalion,Cobalion
550,Drilbur,Carvanha,Drilbur
551,Gible,Smoochum,Smoochum
552,Swablu,Mienfoo,Mienfoo
553,Sigilyph,Bagon,Sigilyph
554,Cubone,Mawile,Mawile
555,Hawlucha,Skrelp,Hawlucha
556,Ledyba,Tyrogue,Ledyba
557,Tangela,Mesprit,Mesprit
558,Natu,Chingling,Natu
559,Swinub,Drilbur,Drilbur
560,Shieldon,Gligar,Gligar
561,Tirtouga,Larvitar,Larvitar
562,Nincada,Delibird,Delibird
563,Larvesta,Snover,Larvesta
564,Absol,Gothita,Absol
565,Blitzle,Dedenne,Dedenne
566,Roggenrola,Inkay,Inkay
567,Totodile,Stunfisk,Totodile
568,Turtwig,Solosis,Turtwig
569,Cacnea,Darumaka,Darumaka
570,Rhyhorn,Duskull,Duskull
571,Seel,Misdreavus,Misdreavus
572,Lotad,Latias,Latias
573,Skarmory,Jirachi,Jirachi
574,Articuno,Miltank,Miltank
575,Chatot,Dwebble,Chatot
576,Roggenrola,Swinub,Roggenrola
577,Panpour,Rufflet,Panpour
578,Gulpin,Drowzee,Drowzee
579,Sunkern,Shuppet,Shuppet
580,Cottonee,Torkoal,Torkoal
581,Zorua,Pidove,Zorua
582,Barboach,Bunnelby,Barboach
583,Hippopotas,Larvesta,Larvesta
584,Pidgey,Croagunk,Pidgey
585,Magby,Glameow,Glameow
586,Pancham,Audino,Audino
587,Seel,Patrat,Seel
588,Porygon,Drilbur,Drilbur
589,Misdreavus,Spheal,Misdreavus
590,Surskit,Grimer,Grimer
591,Oddish,Corsola,Corsola
592,Audino,Mareep,Audino
593,Skarmory,Skiddo,Skarmory
594,Meditite,Skorupi,Skorupi
595,Munna,Inkay,Inkay
596,Smeargle,Manaphy,Manaphy
597,Anorith,Spearow,Anorith
598,Cyndaquil,Rayquaza,Rayquaza
599,Emolga,Misdreavus,Emolga
600,Abra,Cubone,Cubone
601,Petilil,Wurmple,Petilil
602,Ho-oh,Trapinch,Ho-oh
603,Kecleon,Clamperl,Kecleon
604,Taillow,Gastly,Gastly
605,Tyrunt,Bagon,Bagon
606,Finneon,Vanillite,Finneon
607,Sunkern,Mareep,Mareep
608,Cubone,Piplup,Piplup
609,Shuckle,Cyndaquil,Cyndaquil
610,Shelmet,Delibird,Delibird
611,Archen,Chespin,Archen
612,Teddiursa,Sawk,Sawk
613,Honedge,Woobat,Woobat
614,Beldum,Diglett,Diglett
615,Spinarak,Bagon,Bagon
616,Regirock,Beldum,Regirock
617,Pansage,Venonat,Pansage
618,Paras,Chingling,Chingling
619,Happiny,Chimchar,Chimchar
620,Bagon,Venipede,Venipede
621,Snover,Yveltal,Yveltal
622,Onix,Staryu,Staryu
623,Bellsprout,Roggenrola,Bellsprout
624,Hoothoot,Magby,Magby
625,Bonsly,Numel,Bonsly
626,Spheal,Poochyena,Poochyena
627,Goldeen,Litwick,Goldeen
628,Skitty,Archen,Archen
629,Vanillite,Gothita,Gothita
630,Tyrunt,Pansage,Pansage
631,Cubchoo,Trapinch,Cubchoo
632,Phantump,Pansage,Pansage
633,Throh,Skrelp,Throh
634,Numel,Cyndaquil,Cyndaquil
635,Magikarp,Reshiram,Reshiram
636,Venipede,Beldum,Venipede
637,Murkrow,Shuckle,Murkrow
638,Palkia,Blitzle,Palkia
639,Frillish,Zigzagoon,Zigzagoon
640,Gastly,Regice,Gastly
641,Joltik,Raikou,Raikou
642,Duskull,Noibat,Noibat
643,Darkrai,Murkrow,Darkrai
644,Mewtwo,Stunfisk,Mewtwo
645,Porygon,Shieldon,Porygon
646,Piplup,Chatot,Chatot
647,Joltik,Magby,Magby
648,Finneon,Wingull,Wingull
649,Illumise,Regice,Illumise
650,Pachirisu,Corsola,Pachirisu
651,Gulpin,Magnemite,Magnemite
652,Cryogonal,Zorua,Cryogonal
653,Kyurem,Slakoth,Kyurem
654,Volcanion,Venonat,Volcanion
655,Miltank,Caterpie,Miltank
656,Grimer,Castform,Castform
657,Chespin,Electrike,Electrike
658,Amaura,Staryu,Staryu
659,Koffing,Shieldon,Koffing
660,Seviper,Regigigas,Regigigas
661,Spearow,Trapinch,Trapinch
662,Shinx,Ralts,Shinx
663,Dratini,Clamperl,Dratini
664,Charmander,Abra,Abra
665,Ducklett,Mantyke,Ducklett
666,Chinchou,Cubchoo,Chinchou
667,Meditite,Volcanion,Volcanion
668,Cresselia,Krabby,Cresselia
669,Minccino,Budew,Minccino
670,Jirachi,Kecleon,Jirachi
671,Foongus,Zapdos,Zapdos
672,Bergmite,Litleo,Litleo
673,Yamask,Dialga,Dialga
674,Mareep,Helioptile,Helioptile
675,Cyndaquil,Porygon,Cyndaquil
676,Bidoof,Torchic,Torchic
677,Meowth,Anorith,Meowth
678,Wingull,Elekid,Elekid
679,Happiny,Hoppip,Hoppip
680,Goldeen,Ralts,Goldeen
681,Sunkern,Whismur,Sunkern
682,Cobalion,Spinda,Cobalion
683,Pichu,Corsola,Pichu
684,Druddigon,Dwebble,Dwebble
685,Cubchoo,Wynaut,Cubchoo
686,Combee,Shuppet,Combee
687,Clauncher,Frillish,Frillish
688,Azurill,Swablu,Swablu
689,Axew,Raikou,Raikou
690,Patrat,Eevee,Eevee
691,Cubchoo,Bagon,Bagon
692,Litwick,Luvdisc,Luvdisc
693,Turtwig,Mawile,Mawile
694,Tangela,Clauncher,Tangela
695,Regirock,Goldeen,Goldeen
696,Mienfoo,Zigzagoon,Mienfoo
697,Pidove,Articuno,Articuno
698,Clauncher,Meowth,Meowth
699,Cherubi,Wailmer,Wailmer
700,Rufflet,Aerodactyl,Aerodactyl
701,Yamask,Palkia,Palkia
702,Gligar,Carbink,Gligar
703,Swablu,Absol,Absol
704,Aron,Stunfisk,Stunfisk
705,Drifloon,Dwebble,Drifloon
706,Sentret,Hoppip,Hoppip
707,Cacnea,Regice,Regice
708,Trapinch,Exeggcute,Exeggcute
709,Bellsprout,Mawile,Mawile
710,Dialga,Gothita,Dialga
711,Tangela,Cottonee,Cottonee
712,Azelf,Luvdisc,Azelf
713,Rattata,Cyndaquil,Rattata
714,Relicanth,Mudkip,Relicanth
715,Cubone,Drilbur,Drilbur
716,Scraggy,Carbink,Carbink
717,Bronzor,Magikarp,Bronzor
718,Sawk,Regirock,Sawk
719,Sentret,Pidove,Pidove
720,Aron,Moltres,Moltres
721,Turtwig,Alomomola,Alomomola
722,Tyrogue,Blitzle,Blitzle
723,Litleo,Tirtouga,Tirtouga
724,Mewtwo,Celebi,Mewtwo
725,Sableye,Kricketot,Kricketot
726,Chinchou,Misdreavus,Misdreavus
727,Carnivine,Shuckle,Carnivine
728,Woobat,Lileep,Woobat
729,Scyther,Castform,Scyther
730,Pineco,Hippopotas,Hippopotas
731,Munna,Petilil,Petilil
732,Amaura,Krabby,Krabby
733,Cubchoo,Clauncher,Clauncher
734,Budew,Corphish,Budew
735,Dunsparce,Psyduck,Psyduck
736,Mienfoo,Cubone,Mienfoo
737,Elekid,Zubat,Elekid
738,Phantump,Sentret,Sentret
739,Celebi,Clauncher,Celebi
740,Whismur,Clamperl,Clamperl
741,Growlithe,Caterpie,Growlithe
742,Lugia,Duskull,Lugia
743,Reshiram,Virizion,Virizion
744,Bulbasaur,Mareep,Bulbasaur
745,Chinchou,Carbink,Chinchou
746,Regigigas,Rhyhorn,Regigigas
747,Manaphy,Mankey,Manaphy
748,Croagunk,Spearow,Spearow
749,Ducklett,Eevee,Eevee
750,Larvesta,Meowth,Meowth
751,Tirtouga,Zekrom,Zekrom
752,Corsola,Petilil,Corsola
753,Torchic,Cubchoo,Torchic
754,Caterpie,Doduo,Doduo
755,Mienfoo,Pawniard,Mienfoo
